ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
169900,3,1,1580,4791,1955,59,2
848900,5,3.5,3602,6534,2013,1,2
229900,3,1.5,1410,5749,1946,68,1
135000,4,2,2992,4356,2004,10,2
139900,4,2.75,1721,4791,1903,111,1
475000,4,1.75,1925,5227,1924,90,1
159900,3,1,1086,5662,1900,114,1
63000,2,1,1374,5052,1925,89,2
239900,4,1.75,2216,5227,1923,91,2
794000,4,3,3091,5227,1900,114,2
134900,2,1,1082,4791,1903,111,2
19900,2,1,900,5227,1911,103,1
130000,2,1.5,2728,3484,1900,114,1
205000,3,0.75,1421,5227,1906,108,1
759900,5,3.5,3564,5227,2013,1,2
100000,3,1,1444,5227,1958,56,1
69900,2,1,1337,4791,1890,124,0
168700,2,1,984,4791,1925,89,2
875000,5,3,4500,17859,1918,96,5
199900,3,1.5,1549,,1911,103,2
145000,3,1,1575,5227,1948,66,4
174900,2,1,814,5227,1925,89,1
379900,3,2.75,2246,4791,2003,11,2
439900,3,1.5,2118,13068,1957,57,3
51500,3,1,1419,6098,1869,145,2
199990,3,1.75,1266,5662,1925,89,2
99900,3,1,1490,4791,1926,88,1
104900,2,1,1005,3920,1912,102,1
545000,3,1.5,2003,6534,1926,88,2
289000,2,1,1358,2178,1914,100,1
58800,4,1,2460,4791,1923,91,2
525000,3,2.25,2920,12196,1932,82,2
165000,5,2.5,2200,6534,1900,114,2
57500,3,1,1271,4791,1914,100,2
63000,4,1,1522,4791,1908,106,2
284900,3,1.5,1560,5227,1910,104,2
139990,2,1.75,1050,4791,1924,90,2
215000,4,2,1561,5227,1941,73,1
134900,5,2.5,1819,7405,1889,125,2
99900,3,1,1148,4791,1927,87,1
159900,2,1,944,5227,1932,82,1
125000,4,3,2174,7840,1891,123,2
149900,5,1.75,1791,3920,1888,126,1
104900,3,2,1388,5227,1921,93,1
484900,4,2,1961,6098,1900,114,2
159900,3,1.75,1492,5227,1981,33,2
229900,5,3.25,3676,4791,1900,114,2
109900,2,1.25,1066,5662,1913,101,3
